N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
548370,30/3/2021,15528,United Kingdom,123,"229,33"
575767,11/11/2021,17348,United Kingdom,163,"209,73"
C570727,12/10/2021,12471,Germany,-1,"-1,45"
549106,6/4/2021,17045,United Kingdom,1,"39,95"
573112,27/10/2021,16416,United Kingdom,357,"344,83"
576630,16/11/2021,13816,Germany,91,"199,98"
538125,9/12/2020,18225,United Kingdom,16,"30,00"
544354,18/2/2021,13489,United Kingdom,64,"77,28"
546369,11/3/2021,15513,United Kingdom,10,"67,50"
570651,11/10/2021,14911,EIRE,86,"321,35"
C543628,10/2/2021,16558,United Kingdom,-5,"-9,25"
539736,21/12/2020,,United Kingdom,143,"1172,46"
537823,8/12/2020,,United Kingdom,1484,"6073,71"
575581,10/11/2021,12659,France,105,"91,68"
580987,6/12/2021,17389,United Kingdom,96,"720,00"
543754,11/2/2021,18159,United Kingdom,139,"530,15"
542418,27/1/2021,,United Kingdom,-17,"0,00"
C553508,17/5/2021,14000,United Kingdom,-3,"-1,95"
563233,14/8/2021,17988,United Kingdom,1,"2,95"
545417,2/3/2021,15622,United Kingdom,222,"576,00"
C577693,21/11/2021,12628,Germany,-3,"-16,85"
550759,20/4/2021,,United Kingdom,-7,"0,00"
C547309,22/3/2021,17416,United Kingdom,-12,"-45,00"
556427,10/6/2021,,United Kingdom,92,"435,69"
C555404,2/6/2021,17231,United Kingdom,-2,"-19,90"
576571,15/11/2021,12950,United Kingdom,164,"311,60"
550623,19/4/2021,13719,United Kingdom,78,"132,90"
576083,14/11/2021,17404,Sweden,1060,"1238,48"
562417,4/8/2021,,United Kingdom,526,"1691,38"
570733,12/10/2021,17190,United Kingdom,160,"249,74"
537026,3/12/2020,12395,Belgium,528,"346,10"
552837,11/5/2021,12901,United Kingdom,72,"140,04"
C579925,1/12/2021,15544,United Kingdom,-3,"-2,55"
550535,19/4/2021,14211,United Kingdom,72,"155,60"
555213,1/6/2021,13094,United Kingdom,144,"152,64"
549923,13/4/2021,13138,United Kingdom,72,"193,62"
575198,9/11/2021,12921,United Kingdom,19,"71,25"
C549986,13/4/2021,18178,United Kingdom,-2,"-7,50"
569005,29/9/2021,16268,United Kingdom,465,"493,76"
566307,12/9/2021,14307,United Kingdom,323,"656,23"
539049,15/12/2020,15615,United Kingdom,364,"1048,64"
549684,11/4/2021,,United Kingdom,1,"30,00"
580068,1/12/2021,17321,United Kingdom,5,"41,25"
542745,31/1/2021,15881,United Kingdom,154,"339,29"
575525,10/11/2021,13983,United Kingdom,72,"128,88"
